rama_ciiu,empleo,periodo,ano,mes,salario_promedio
52,259460.245686138,2025-11,2025,11,1508676.0
53,213797.34596685,2025-11,2025,11,1382169.0
55,168599.150899021,2025-11,2025,11,1717888.0
56,1758345.631467391,2025-11,2025,11,1204389.0
58,23540.9663321,2025-11,2025,11,3518459.0
59,26992.886970210002,2025-11,2025,11,3174657.0
60,17564.287146515002,2025-11,2025,11,4935760.0
61,145327.597618713,2025-11,2025,11,2436550.0
62,261549.229552322,2025-11,2025,11,5152591.0
63,23884.248175172,2025-11,2025,11,2419807.0
64,260399.583707161,2025-11,2025,11,4169401.0
65,134153.891648852,2025-11,2025,11,5105638.0
66,54727.4304717,2025-11,2025,11,5696651.0
68,338632.968763437,2025-11,2025,11,1961847.0
69,204897.623257396,2025-11,2025,11,3942288.0
70,103770.641166464,2025-11,2025,11,6471258.0
71,154157.572250563,2025-11,2025,11,3167254.0
72,12263.250496397999,2025-11,2025,11,7955327.0
73,128634.241445449,2025-11,2025,11,3551325.0
74,79887.689979667,2025-11,2025,11,2800022.0
75,42963.626949002,2025-11,2025,11,2202526.0
77,62023.112067443,2025-11,2025,11,2549201.0
78,31546.567196126,2025-11,2025,11,5835063.0
79,39386.477123227996,2025-11,2025,11,2589369.0
80,130994.150253512,2025-11,2025,11,1946404.0
81,568104.225820512,2025-11,2025,11,816036.0
82,284363.345403774,2025-11,2025,11,2000228.0
84,885678.0139051237,2025-11,2025,11,4506624.0
85,1089071.528405708,2025-11,2025,11,3306441.0
86,863170.3110582504,2025-11,2025,11,3004884.0
87,42697.21616484,2025-11,2025,11,1220359.0
88,134087.351827632,2025-11,2025,11,1189270.0
90,66514.784010051,2025-11,2025,11,1881391.0
91,20554.934120402002,2025-11,2025,11,1973286.0
92,115537.514893277,2025-11,2025,11,1625677.0
93,111212.4438409,2025-11,2025,11,2326564.0
94,155312.070618591,2025-11,2025,11,3537997.0
95,272113.044681125,2025-11,2025,11,893457.0
96,615506.485401754,2025-11,2025,11,1087352.0
97,786440.943118085,2025-11,2025,11,1071366.0
99,14765.262929211,2025-11,2025,11,6757691.0
1,2982697.279507775,2025-12,2025,12,1128853.0
2,28471.810439799,2025-12,2025,12,876411.0
3,97212.491388184,2025-12,2025,12,879088.0
5,45221.42258574,2025-12,2025,12,2038249.0
6,22229.89891335,2025-12,2025,12,13316098.0
7,210317.604347171,2025-12,2025,12,1372308.0
8,39007.360283499,2025-12,2025,12,988472.0
9,11587.20936857,2025-12,2025,12,5453230.0
10,740311.283027779,2025-12,2025,12,2024477.0
11,53304.342807193,2025-12,2025,12,2270534.0
12,2178.9321204,2025-12,2025,12,607385.0
13,108198.756829476,2025-12,2025,12,1399060.0
14,451344.283657404,2025-12,2025,12,1595107.0
15,178607.166076142,2025-12,2025,12,1337996.0
16,88658.331878888,2025-12,2025,12,1160802.0
17,36923.473075784,2025-12,2025,12,2613614.0
18,30551.239573251998,2025-12,2025,12,1687629.0
19,6045.878564537999,2025-12,2025,12,3641578.0
20,86901.387938855,2025-12,2025,12,2607592.0
21,87783.92784539,2025-12,2025,12,5343382.0
22,131145.017306314,2025-12,2025,12,3372525.0
23,94795.038849503,2025-12,2025,12,2260515.0
24,12215.668019399,2025-12,2025,12,1716844.0
25,208238.272808627,2025-12,2025,12,1827679.0
26,19006.29788735,2025-12,2025,12,1834499.0
27,40076.628935577,2025-12,2025,12,2088450.0
28,14971.70551128,2025-12,2025,12,5661056.0
29,27629.05751437,2025-12,2025,12,1790151.0
30,16947.946513534,2025-12,2025,12,1664845.0
