ies,rango_modal,graduados_rango_modal,total_graduados
CORPORACION JOHN F KENNEDY,"Entre 1 y 1,5 SMMLV",65,231
FUNDACION UNIVERSITARIA SEMINARIO TEOLOGICO BAUTISTA INTERNACIONAL,"Entre 1 y 1,5 SMMLV",77,216
UNIVERSITARIA VIRTUAL INTERNACIONAL,"Entre 1 y 1,5 SMMLV",78,216
FUNDACION INTERAMERICANA TECNICA-FIT-,"Entre 1 y 1,5 SMMLV",65,214
CORPORACION EDUCATIVA INTERNACIONAL - CEI -,"Entre 1 y 1,5 SMMLV",73,202
INSTITUTO NACIONAL DE FORMACION TECNICA PROFESIONAL DE SAN ANDRES Y PROVIDENCIA - INFOTEP,"Entre 1,5 y 2,5 SMMLV",75,201
CORPORACION TECNOLOGICA CATOLICA DE OCCIDENTE - TECOC -,"Entre 1 y 1,5 SMMLV",82,188
FUNDACION DE ESTUDIOS SUPERIORES UNIVERSITARIOS DE URABA ANTONIO ROLDAN BETANCUR,"Entre 1 y 1,5 SMMLV",79,185
CORPORACION COLSUBSIDIO EDUCACION TECNOLOGICA - CET,"Entre 1,5 y 2,5 SMMLV",70,177
INSTITUCION UNIVERSITARIA DIGITAL DE ANTIOQUIA -IU DIGITAL,"Entre 2,5 y 4 SMMLV",47,162
FUNDACION UNIVERSITARIA SEMINARIO BIBLICO DE COLOMBIA - FUSBC,"Entre 2,5 y 4 SMMLV",58,157
INSTITUTO DE EDUCACION EMPRESARIAL-IDEE-,"Entre 1 y 1,5 SMMLV",80,150
